Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth,
2022-12-01,56,35,45.5,1.6,19,0,0.38,0.0,0,
2022-12-02,44,30,37.0,-6.6,28,0,0.00,0.0,0,
2022-12-03,54,37,45.5,2.2,19,0,M,M,M,
2022-12-04,58,36,47.0,4.0,18,0,M,M,M,
2022-12-05,46,31,38.5,-4.2,26,0,M,M,M,
2022-12-06,50,35,42.5,0.1,22,0,0.67,0.0,0,
2022-12-07,57,49,53.0,10.9,12,0,0.75,0.0,0,
2022-12-08,55,50,52.5,10.6,12,0,0.00,0.0,0,
2022-12-09,54,36,45.0,3.4,20,0,0.00,0.0,0,
2022-12-10,47,33,40.0,-1.3,25,0,0.00,0.0,0,
2022-12-11,43,36,39.5,-1.5,25,0,M,M,M,
2022-12-12,42,35,38.5,-2.3,26,0,M,M,M,
2022-12-13,42,27,34.5,-6.0,30,0,0.05,0.0,0,
2022-12-14,42,29,35.5,-4.7,29,0,0.00,0.0,0,
2022-12-15,42,33,37.5,-2.5,27,0,0.05,0.0,0,
2022-12-16,47,36,41.5,1.8,23,0,2.13,0.0,0,
2022-12-17,45,37,41.0,1.5,24,0,0.00,0.0,0,
2022-12-18,44,36,40.0,0.8,25,0,0.00,0.0,0,
2022-12-19,41,30,35.5,-3.5,29,0,0.00,0.0,0,
2022-12-20,37,29,33.0,-5.7,32,0,0.00,0.0,0,
2022-12-21,42,27,34.5,-4.0,30,0,0.00,0.0,0,
2022-12-22,43,33,38.0,-0.2,27,0,0.00,0.0,0,
2022-12-23,59,37,48.0,10.0,17,0,0.96,0.0,0,
2022-12-24,46,6,26.0,-11.8,39,0,M,0.0,0,
2022-12-25,20,7,13.5,-24.1,51,0,M,0.0,0,
2022-12-26,29,18,23.5,-13.8,41,0,M,0.0,0,
2022-12-27,31,20,25.5,-11.6,39,0,M,0.0,0,
2022-12-28,39,31,35.0,-1.9,30,0,M,0.0,0,
2022-12-29,48,33,40.5,3.8,24,0,0.00,0.0,0,
2022-12-30,54,37,45.5,9.0,19,0,0.00,0.0,0,
2022-12-31,60,42,51.0,14.7,14,0,0.00,0.0,0,